iter	Passed	Remaining
0	169	135285
1	178	71303
2	189	50434
3	199	39736
4	207	32921
5	213	28297
6	219	24885
7	225	22287
8	230	20289
9	236	18718
10	241	17343
11	245	16139
12	250	15146
13	253	14253
14	258	13509
15	261	12823
16	265	12232
17	269	11697
18	272	11219
19	276	10779
20	280	10393
21	283	10041
22	287	9718
23	291	9431
24	295	9148
25	298	8898
26	302	8660
27	306	8451
28	310	8252
29	313	8050
30	316	7859
31	320	7682
32	323	7520
33	327	7375
34	331	7235
35	334	7093
36	337	6966
37	341	6845
38	344	6731
39	348	6618
40	352	6520
41	355	6419
42	358	6318
43	362	6225
44	365	6136
45	369	6054
46	372	5972
47	376	5891
48	379	5816
49	382	5742
50	388	5702
51	393	5655
52	397	5601
53	403	5567
54	407	5522
55	411	5471
56	415	5421
57	420	5384
58	424	5336
59	428	5282
60	432	5240
61	436	5192
62	439	5144
63	443	5095
64	446	5052
65	450	5008
66	453	4963
67	457	4921
68	460	4875
69	463	4835
70	467	4798
71	470	4761
72	474	4723
73	478	4691
74	482	4663
75	486	4633
76	490	4605
77	494	4574
78	498	4550
79	502	4519
80	506	4493
81	510	4466
82	514	4446
83	518	4419
84	522	4391
85	526	4370
86	530	4351
87	534	4326
88	538	4305
89	542	4283
90	546	4261
91	550	4238
92	554	4217
93	558	4191
94	561	4170
95	565	4149
96	570	4132
97	573	4110
98	578	4092
99	581	4072
100	585	4053
101	589	4034
102	593	4016
103	597	4000
104	602	3986
105	606	3972
106	611	3957
107	614	3939
108	618	3921
109	622	3905
110	626	3889
111	630	3874
112	634	3859
113	638	3841
114	642	3824
115	645	3808
116	649	3792
117	653	3777
118	657	3762
119	661	3747
120	664	3729
121	668	3716
122	672	3701
123	677	3690
124	681	3677
125	685	3666
126	689	3655
127	693	3641
128	697	3630
129	702	3620
130	706	3607
131	710	3597
132	714	3585
133	719	3576
134	723	3564
135	727	3552
136	731	3540
137	735	3530
138	739	3516
139	743	3503
140	746	3488
141	750	3478
142	754	3466
143	758	3454
144	761	3441
145	766	3435
146	771	3425
147	774	3412
148	778	3402
149	782	3390
150	786	3379
151	790	3368
152	793	3357
153	797	3346
154	801	3335
155	805	3324
156	808	3312
157	812	3302
158	816	3292
159	820	3282
160	824	3271
161	828	3262
162	832	3252
163	836	3242
164	839	3231
165	843	3221
166	847	3212
167	851	3201
168	854	3190
169	858	3181
170	862	3172
171	866	3164
172	870	3154
173	874	3144
174	878	3135
175	881	3125
176	885	3116
177	890	3110
178	894	3103
179	899	3096
180	904	3093
181	909	3087
182	915	3088
183	920	3082
184	925	3077
185	931	3075
186	935	3068
187	941	3063
188	946	3061
189	951	3054
190	956	3050
191	961	3045
192	965	3035
193	968	3025
194	972	3017
195	977	3011
196	981	3002
197	984	2994
198	988	2986
199	993	2979
200	996	2971
201	1001	2963
202	1004	2954
203	1009	2950
204	1013	2941
205	1017	2933
206	1021	2925
207	1025	2919
208	1029	2912
209	1033	2903
210	1037	2896
211	1042	2891
212	1046	2883
213	1049	2875
214	1054	2868
215	1058	2863
216	1063	2856
217	1067	2849
218	1071	2842
219	1075	2834
220	1079	2827
221	1083	2820
222	1087	2813
223	1091	2805
224	1094	2798
225	1098	2790
226	1102	2783
227	1106	2776
228	1110	2768
229	1114	2760
230	1117	2753
231	1121	2746
232	1125	2739
233	1129	2732
234	1133	2724
235	1137	2718
236	1141	2712
237	1145	2705
238	1149	2698
239	1154	2693
240	1158	2686
241	1162	2680
242	1166	2672
243	1170	2666
244	1174	2661
245	1178	2654
246	1183	2649
247	1187	2643
248	1192	2638
249	1196	2631
250	1200	2626
251	1204	2619
252	1208	2613
253	1212	2607
254	1217	2602
255	1221	2596
256	1225	2589
257	1229	2583
258	1234	2579
259	1238	2572
260	1242	2565
261	1246	2560
262	1251	2554
263	1255	2548
264	1258	2541
265	1262	2535
266	1266	2528
267	1270	2521
268	1274	2514
269	1278	2509
270	1282	2503
271	1286	2496
272	1289	2490
273	1295	2486
274	1298	2479
275	1302	2473
276	1306	2467
277	1310	2461
278	1314	2454
279	1318	2448
280	1324	2445
281	1330	2444
282	1336	2442
283	1342	2439
284	1347	2435
285	1353	2432
286	1358	2428
287	1363	2424
288	1368	2419
289	1372	2413
290	1377	2409
291	1381	2403
292	1386	2399
293	1392	2396
294	1396	2390
295	1401	2386
296	1405	2381
297	1411	2377
298	1416	2372
299	1420	2367
300	1426	2364
301	1431	2360
302	1436	2356
303	1442	2354
304	1448	2351
305	1453	2346
306	1459	2343
307	1464	2339
308	1468	2334
309	1475	2331
310	1480	2327
311	1485	2323
312	1490	2319
313	1496	2315
314	1501	2311
315	1506	2308
316	1511	2303
317	1516	2298
318	1521	2294
319	1526	2289
320	1531	2285
321	1538	2283
322	1543	2279
323	1548	2274
324	1553	2270
325	1557	2264
326	1562	2260
327	1568	2256
328	1572	2251
329	1577	2246
330	1583	2243
331	1588	2239
332	1594	2235
333	1599	2232
334	1605	2228
335	1610	2223
336	1615	2220
337	1620	2215
338	1626	2211
339	1632	2208
340	1636	2203
341	1641	2198
342	1646	2193
343	1651	2189
344	1657	2185
345	1662	2181
346	1667	2176
347	1672	2172
348	1676	2166
349	1683	2164
350	1688	2160
351	1694	2156
352	1699	2152
353	1704	2148
354	1709	2143
355	1715	2139
356	1720	2135
357	1725	2130
358	1729	2125
359	1735	2120
360	1739	2115
361	1744	2110
362	1748	2105
363	1752	2099
364	1757	2093
365	1762	2089
366	1768	2086
367	1773	2081
368	1778	2077
369	1783	2072
370	1788	2067
371	1793	2063
372	1797	2057
373	1802	2052
374	1807	2048
375	1811	2042
376	1816	2038
377	1822	2034
378	1828	2031
379	1833	2026
380	1838	2022
381	1844	2017
382	1849	2013
383	1853	2007
384	1857	2002
385	1862	1997
386	1868	1993
387	1874	1990
388	1882	1989
389	1889	1985
390	1895	1982
391	1903	1980
392	1910	1978
393	1917	1975
394	1922	1971
395	1927	1966
396	1932	1961
397	1936	1955
398	1940	1949
399	1944	1944
400	1949	1939
401	1953	1934
402	1957	1928
403	1961	1922
404	1966	1918
405	1971	1912
406	1975	1907
407	1979	1901
408	1984	1896
409	1988	1891
410	1992	1885
411	1996	1880
412	2000	1874
413	2004	1869
414	2008	1863
415	2012	1857
416	2017	1852
417	2021	1847
418	2025	1842
419	2030	1837
420	2035	1832
421	2039	1826
422	2043	1821
423	2047	1815
424	2051	1810
425	2056	1805
426	2060	1799
427	2064	1794
428	2068	1789
429	2072	1783
430	2076	1777
431	2081	1772
432	2084	1767
433	2088	1761
434	2092	1755
435	2096	1750
436	2100	1744
437	2104	1739
438	2108	1733
439	2111	1727
440	2115	1722
441	2119	1716
442	2123	1711
443	2126	1705
444	2131	1700
445	2134	1694
446	2138	1688
447	2142	1683
448	2146	1678
449	2150	1672
450	2154	1667
451	2158	1662
452	2162	1656
453	2166	1650
454	2170	1645
455	2174	1640
456	2178	1634
457	2181	1629
458	2185	1623
459	2189	1618
460	2193	1613
461	2197	1607
462	2200	1601
463	2204	1596
464	2208	1591
465	2213	1586
466	2217	1581
467	2221	1575
468	2225	1570
469	2229	1565
470	2234	1560
471	2238	1555
472	2242	1550
473	2246	1545
474	2251	1540
475	2255	1534
476	2258	1529
477	2262	1523
478	2265	1518
479	2270	1513
480	2274	1508
481	2277	1502
482	2281	1497
483	2285	1492
484	2290	1487
485	2294	1482
486	2298	1477
487	2302	1472
488	2306	1466
489	2310	1461
490	2314	1456
491	2317	1450
492	2321	1445
493	2325	1440
494	2329	1435
495	2333	1430
496	2337	1425
497	2341	1420
498	2345	1414
499	2349	1409
500	2353	1404
501	2356	1398
502	2361	1394
503	2366	1389
504	2369	1384
505	2373	1379
506	2378	1374
507	2382	1369
508	2386	1364
509	2390	1359
510	2394	1354
511	2398	1349
512	2402	1344
513	2406	1338
514	2410	1333
515	2414	1328
516	2418	1324
517	2422	1318
518	2426	1313
519	2429	1308
520	2434	1303
521	2438	1298
522	2442	1293
523	2446	1288
524	2450	1283
525	2454	1278
526	2458	1273
527	2462	1268
528	2466	1263
529	2469	1258
530	2473	1253
531	2477	1248
532	2481	1243
533	2485	1238
534	2489	1232
535	2492	1227
536	2497	1222
537	2501	1217
538	2504	1212
539	2508	1207
540	2512	1203
541	2516	1197
542	2519	1192
543	2523	1187
544	2527	1182
545	2531	1177
546	2535	1172
547	2538	1167
548	2543	1162
549	2547	1157
550	2550	1152
551	2554	1147
552	2558	1142
553	2562	1137
554	2566	1132
555	2569	1127
556	2574	1123
557	2578	1118
558	2582	1113
559	2585	1108
560	2589	1103
561	2594	1098
562	2598	1093
563	2602	1089
564	2607	1084
565	2611	1079
566	2615	1074
567	2620	1070
568	2624	1065
569	2628	1060
570	2633	1056
571	2637	1051
572	2642	1046
573	2646	1042
574	2651	1037
575	2655	1032
576	2660	1028
577	2664	1023
578	2669	1018
579	2674	1014
580	2678	1009
581	2684	1005
582	2688	1000
583	2693	996
584	2697	991
585	2701	986
586	2705	981
587	2709	976
588	2713	972
589	2717	967
590	2721	962
591	2726	957
592	2730	953
593	2733	948
594	2738	943
595	2742	938
596	2746	933
597	2750	929
598	2754	924
599	2758	919
600	2762	914
601	2765	909
602	2770	905
603	2774	900
604	2778	895
605	2782	890
606	2787	886
607	2791	881
608	2795	876
609	2798	871
610	2802	867
611	2806	862
612	2810	857
613	2813	852
614	2818	847
615	2822	843
616	2826	838
617	2831	833
618	2835	829
619	2839	824
620	2844	819
621	2848	815
622	2853	810
623	2857	805
624	2861	801
625	2866	796
626	2870	792
627	2875	787
628	2879	782
629	2883	778
630	2887	773
631	2891	768
632	2895	763
633	2898	759
634	2902	754
635	2906	749
636	2910	744
637	2913	739
638	2917	735
639	2921	730
640	2925	725
641	2929	720
642	2933	716
643	2937	711
644	2941	706
645	2945	702
646	2948	697
647	2952	692
648	2955	687
649	2959	682
650	2963	678
651	2967	673
652	2971	668
653	2975	664
654	2979	659
655	2983	654
656	2987	650
657	2991	645
658	2995	640
659	2999	636
660	3002	631
661	3007	626
662	3011	622
663	3014	617
664	3018	612
665	3022	608
666	3026	603
667	3030	598
668	3033	594
669	3037	589
670	3041	584
671	3045	580
672	3049	575
673	3053	570
674	3057	566
675	3061	561
676	3065	556
677	3068	552
678	3073	547
679	3077	543
680	3081	538
681	3085	533
682	3090	529
683	3094	524
684	3098	520
685	3102	515
686	3107	511
687	3111	506
688	3115	501
689	3119	497
690	3123	492
691	3127	488
692	3131	483
693	3135	478
694	3139	474
695	3143	469
696	3147	465
697	3151	460
698	3155	455
699	3159	451
700	3163	446
701	3167	442
702	3171	437
703	3175	433
704	3179	428
705	3184	423
706	3188	419
707	3192	414
708	3196	410
709	3200	405
710	3205	401
711	3208	396
712	3213	392
713	3217	387
714	3221	382
715	3225	378
716	3229	373
717	3234	369
718	3237	364
719	3242	360
720	3246	355
721	3250	351
722	3254	346
723	3258	342
724	3262	337
725	3265	332
726	3269	328
727	3273	323
728	3277	319
729	3281	314
730	3285	310
731	3290	305
732	3294	301
733	3298	296
734	3302	292
735	3306	287
736	3310	282
737	3313	278
738	3317	273
739	3321	269
740	3325	264
741	3329	260
742	3333	255
743	3338	251
744	3344	246
745	3347	242
746	3351	237
747	3355	233
748	3358	228
749	3362	224
750	3367	219
751	3370	215
752	3374	210
753	3378	206
754	3382	201
755	3386	197
756	3390	192
757	3393	188
758	3397	183
759	3401	179
760	3405	174
761	3408	169
762	3412	165
763	3416	160
764	3419	156
765	3423	151
766	3427	147
767	3431	142
768	3435	138
769	3438	133
770	3443	129
771	3446	125
772	3450	120
773	3452	115
774	3455	111
775	3461	107
776	3465	102
777	3469	98
778	3473	93
779	3477	89
780	3481	84
781	3484	80
782	3488	75
783	3493	71
784	3496	66
785	3500	62
786	3504	57
787	3508	53
788	3512	48
789	3515	44
790	3520	40
791	3524	35
792	3528	31
793	3532	26
794	3535	22
795	3539	17
796	3543	13
797	3547	8
798	3551	4
799	3555	0
